p	N	T	S
4	100000000	0.1599999964	5654.0234375000
4	220000000	0.3459999859	5072.7402343750
4	470000000	0.7390000224	2718.9160156250
4	1000000000	1.5650000572	1556.5322265625
4	2200000000	3.4289999008	937.0838012695
4	4700000000	8.1059999466	438.6349487305
4	10000000000	25.9449996948	206.1584320068
5	1	0.0010000000	2550.0000000000
5	2	0.0020000001	4575.0000000000
5	4	0.0010000000	5081.2500000000
5	7	0.0010000000	5194.8974609375
5	10	0.0010000000	5223.0000000000
5	22	0.0010000000	5244.4218750000
5	47	0.0010000000	5248.7768554688
5	100	0.0010000000	5249.7304687500
5	220	0.0010000000	5249.9448242188
5	470	0.0010000000	5249.9873046875
5	1000	0.0010000000	5249.9970703125
5	2200	0.0020000001	5250.0000000000
5	4700	0.0010000000	5250.0000000000
5	10000	0.0010000000	5250.0009765625
5	22000	0.0010000000	5249.9990234375
5	47000	0.0020000001	5249.9975585938
5	100000	0.0010000000	5250.0112304688
5	220000	0.0010000000	5250.0063476562
5	470000	0.0020000001	5249.9843750000
5	1000000	0.0020000001	5249.8930664062
5	2200000	0.0040000002	5250.3852539062
5	4700000	0.0070000002	5249.1884765625
5	10000000	0.0140000004	5254.7016601562
5	22000000	0.0289999992	5280.2827148438
5	47000000	0.0610000007	5148.9594726562
5	100000000	0.1280000061	5520.0546875000
5	220000000	0.2820000052	4879.0795898438
5	470000000	0.5910000205	3267.2097167969
5	1000000000	1.2610000372	1814.2303466797
5	2200000000	2.7929999828	1111.4194335938
5	4700000000	6.5529999733	548.2937011719
5	10000000000	20.7430000305	257.6980285645
6	1	0.0010000000	2550.0000000000
6	2	0.0010000000	4575.0000000000
6	4	0.0010000000	5081.2500000000
6	7	0.0020000001	5194.8974609375
6	10	0.0020000001	5223.0000000000
6	22	0.0020000001	5244.4218750000
6	47	0.0010000000	5248.7773437500
6	100	0.0020000001	5249.7304687500
6	220	0.0020000001	5249.9448242188
6	470	0.0020000001	5249.9868164062
6	1000	0.0010000000	5249.9970703125
6	2200	0.0010000000	5250.0000000000
6	4700	0.0010000000	5249.9995117188
6	10000	0.0010000000	5250.0004882812
6	22000	0.0010000000	5250.0004882812
6	47000	0.0020000001	5250.0004882812
6	100000	0.0020000001	5250.0117187500
6	220000	0.0020000001	5250.0053710938
6	470000	0.0020000001	5249.9868164062
6	1000000	0.0030000000	5249.9194335938
6	2200000	0.0040000002	5250.2919921875
6	4700000	0.0060000001	5248.5664062500
6	10000000	0.0120000001	5256.8369140625
6	22000000	0.0250000004	5233.6210937500
6	47000000	0.0520000011	5257.6484375000
6	100000000	0.1089999974	5369.8256835938
6	220000000	0.2370000035	4879.0795898438
6	470000000	0.5049999952	3815.5034179688
6	1000000000	1.0620000362	2071.9282226562
6	2200000000	2.3610000610	1228.5549316406
6	4700000000	5.4879999161	657.9523925781
6	10000000000	17.5750007629	309.2376403809
7	1	0.0020000001	2550.0000000000
7	2	0.0020000001	4575.0000000000
7	4	0.0010000000	5081.2500000000
7	7	0.0020000001	5194.8974609375
7	10	0.0020000001	5223.0000000000
7	22	0.0020000001	5244.4218750000
7	47	0.0020000001	5248.7773437500
7	100	0.0010000000	5249.7304687500
7	220	0.0020000001	5249.9448242188
7	470	0.0020000001	5249.9873046875
7	1000	0.0010000000	5249.9970703125
7	2200	0.0020000001	5250.0000000000
7	4700	0.0020000001	5250.0000000000
